trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-105.62290501566228,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9704455335485082}",30,0,-311.1457961777401,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 6}",0
3,False,"{'a': 0.9, 'e': 0.9417645335842487}",25,0,-96.5654203406719,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,0,-52.11422334409527,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.8869204367171575}",25,18,-15.694970904919256,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.8607079764250578}",25,0,-84.5773585926975,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-126.75786320935029,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.8105842459701871}",20,0,-45.390928263194525,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,0,-153.09261378199753,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.7633794943368531}",30,21,-38.19869651689776,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.7408182206817179}",25,11,-47.29702075945566,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.9, 'e': 0.7189237334319262}",25,6,-26.0701906762186,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.697676326071031}",25,10,-9.008787949440778,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.6770568744981647}",25,0,-89.07978179478405,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.6570468198150567}",20,0,-74.97485278116382,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.6376281516217733}",20,0,-62.779576907262914,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.6187833918061408}",20,0,-82.69858925181866,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.6004955788122659}",20,0,-46.26886260056176,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.5827482523739896}",35,18,-29.553934692587212,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.5655254386995371}",25,17,-10.837547023349696,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.5488116360940265}",20,0,-53.23133753332031,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.5325918010068972}",20,0,-99.81863144742601,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.5168513344916993}",20,1,-72.3168606827533,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 1}",1
24,False,"{'a': 0.9, 'e': 0.5015760690660556}",20,0,-83.0225550256565,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.4867522559599717}",25,11,-61.91506552186296,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
26,False,"{'a': 0.9, 'e': 0.4723665527410147}",25,0,-29.26009743162493,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.4584060113052235}",20,0,6.140795777457969,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.44485806622294116}",25,0,-40.408726657640926,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.43171052342907973}",30,0,-99.18519350146464,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.9, 'e': 0.418951549247639}",25,17,0.9162830336714078,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.40656965974059917}",20,0,-56.882255492704026,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.9, 'e': 0.39455371037160114}",20,0,-81.91957394033743,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.38289288597511206}",25,8,1.8359772554197258,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.3715766910220457}",25,13,-35.01396886497697,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.9, 'e': 0.3605949401730783}",20,0,-68.0176673118431,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.3499377491111553}",25,1,6.410400817095862,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.3395955256449391}",20,3,0.9570699650965295,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.3295589610751891}",30,14,-75.99779002454085,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
39,False,"{'a': 0.9, 'e': 0.31981902181630395}",20,0,-7.575726076408178,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.31036694126548503}",20,0,-25.196188994002178,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.30119421191220214}",20,13,12.408698097358005,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
