trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.6834302752304,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,11,-87.84020329299824,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.62904200490857,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.49879002786395,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,13,-101.23016029034267,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.7005953999905,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.2988699142128,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.06046199409059,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.99995414326314,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.31468524806448,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.24501339339636,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.05592291643114,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,8.019065349779492,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.7027858224822,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.71065947176673,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.1507671915012,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,11,-105.82511508122053,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.074572596952656,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.86646588033136,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.33222806281192,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,2,-83.53159247696435,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,12,-88.49859190737394,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.81373614925812,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.4425308104851,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.3186592899895,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-126.24655126949501,"{0: 17, 1: 0, 2: 12, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.8029486651297,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-118.80357263168825,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.42691877583353,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.80024696829204,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
